reviewers,messages,len_messages,churn,revisions,files,duration,len_description,inline_comments,,,,,,,,,,,,,,,,,
5,30,3579,30,2,1,4118.89,730,24,,,,,,,,,,,,,,,,,
9,3,482,509,1,10,2.731389,219,0,,,,,,,,,,,,,,,,,
15,152,5599,1471,96,17,3863.725,100,66,,,,,,,,,,,,,,,,,
26,18,2236,177,4,1,4189.553,962,12,,,,,,,,,,,,,,,,,
8,8,1105,280,1,1,4791.2,1135,17,,,,,,,,,,,,,,,,,
3,10,439,115,3,2,840.0831,290,2,,,,,,,,,,,,,,,,,
18,10,359,432,4,9,882.8417,137,2,,,,,,,,,,,,,,,,,
1,3,1103,593,1,44,88.88444,249,0,,,,,,,,,,,,,,,,,
2,7,413,208,1,1,13159.19,98,0,,,,,,,,,,,,,,,,,
0,2,81,34,1,1,0.093611,102,0,,,,,,,,,,,,,,,,,
0,3,66,6612,2,74,74.92194,956,0,,,,,,,,,,,,,,,,,
0,3,117,52,2,2,931.5128,297,0,,,,,,,,,,,,,,,,,
2,5,431,835,2,3,2915.594,226,0,,,,,,,,,,,,,,,,,
1,2,439,302,1,1,16376.13,110,0,,,,,,,,,,,,,,,,,
1,2,30,1605,1,15,0.013333,585,0,,,,,,,,,,,,,,,,,
7,27,1913,308,7,7,4401.601,401,32,,,,,,,,,,,,,,,,,
20,167,71123,4585,34,55,6598.493,3294,0,,,,,,,,,,,,,,,,,
0,1,9,131,1,3,0.158056,290,0,,,,,,,,,,,,,,,,,
0,2,30,257,1,1,0.041389,134,0,,,,,,,,,,,,,,,,,
0,2,30,122,1,1,0.022222,134,0,,,,,,,,,,,,,,,,,
7,20,1031,46,4,1,2264.758,274,14,,,,,,,,,,,,,,,,,
7,17,1615,198,4,1,133.4747,292,14,,,,,,,,,,,,,,,,,
1,3,65,3,1,3,3.892222,118,0,,,,,,,,,,,,,,,,,
6,12,2264,346,2,7,74.11472,202,9,,,,,,,,,,,,,,,,,
21,23,5090,257,1,2,935.6631,346,4,,,,,,,,,,,,,,,,,
5,7,160,100,1,2,22.37944,370,0,,,,,,,,,,,,,,,,,
1,6,116,20,4,1,2501.512,236,0,,,,,,,,,,,,,,,,,
3,12,338,11,5,3,2501.592,173,2,,,,,,,,,,,,,,,,,
22,24,4166,57,1,2,5071.751,532,5,,,,,,,,,,,,,,,,,
9,23,3007,175,5,1,6681.673,287,22,,,,,,,,,,,,,,,,,
11,38,5466,273,6,1,7743.329,300,91,,,,,,,,,,,,,,,,,
6,6,950,11,2,2,969.3439,87,0,,,,,,,,,,,,,,,,,
4,6,845,12,1,1,287.2989,365,1,,,,,,,,,,,,,,,,,
3,25,2516,72,7,1,432.8931,129,23,,,,,,,,,,,,,,,,,
4,11,914,95,5,1,6240.859,520,4,,,,,,,,,,,,,,,,,
7,24,2509,438,6,22,5281.348,179,93,,,,,,,,,,,,,,,,,
5,20,1112,72,10,9,1363.933,576,16,,,,,,,,,,,,,,,,,
10,65,7575,654,28,6,1481.271,474,30,,,,,,,,,,,,,,,,,
8,22,2189,674,10,9,478.5011,190,8,,,,,,,,,,,,,,,,,
4,35,1050,375,17,14,29391.54,277,6,,,,,,,,,,,,,,,,,
1,5,143,1441,4,5,20671.99,104,0,,,,,,,,,,,,,,,,,
4,16,978,330,8,5,6082.923,222,12,,,,,,,,,,,,,,,,,
7,17,825,57,3,1,7532.578,353,21,,,,,,,,,,,,,,,,,
5,11,687,290,3,4,2484.773,457,3,,,,,,,,,,,,,,,,,
12,19,3929,488,3,3,4962.514,659,16,,,,,,,,,,,,,,,,,
17,23,6759,593,2,3,4962.285,594,11,,,,,,,,,,,,,,,,,
16,44,4746,92,4,3,48.52583,361,45,,,,,,,,,,,,,,,,,
5,7,2659,295,1,14,2554.17,322,0,,,,,,,,,,,,,,,,,
0,2,30,1264,1,5,0.031389,554,0,,,,,,,,,,,,,,,,,
0,4,72,155,3,1,67.85278,100,0,,,,,,,,,,,,,,,,,
3,4,134,26,2,1,66.04417,114,0,,,,,,,,,,,,,,,,,
1,7,335,138,3,2,26.11556,153,4,,,,,,,,,,,,,,,,,
2,8,723,146,1,1,195.9883,243,4,,,,,,,,,,,,,,,,,
0,4,72,62,3,3,26.17778,261,0,,,,,,,,,,,,,,,,,
0,4,72,44,3,3,26.17722,265,0,,,,,,,,,,,,,,,,,
1,3,53,565,1,11,21.34944,110,0,,,,,,,,,,,,,,,,,
4,7,700,59,2,4,10615.34,392,4,,,,,,,,,,,,,,,,,
